subjects,career_label,career_description,career_opportunities,sl_monthly_salary,sl_location,foreign_monthly_salary,foreign_location,work_type,skills,education_requirement
"Mechanical Engineering, Physics, Chemistry",Mechanical Engineer,"Mechanical engineers design, develop, and test mechanical systems. They work in manufacturing, automotive, energy, or robotics sectors. Knowledge of physics, materials, and CAD tools is essential. Engineers solve practical problems with technical innovation.","Factories, R&D Labs",98894,Jaffna,5782,UK,Hybrid,Communication Python Teamwork Leadership Analysis,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Computer Science, Mathematics, Statistics",Data Analyst,"A data analyst collects, processes, and performs statistical analyses of data. They turn data into information that helps businesses make informed decisions. Analysts often work with databases, reporting tools, and visualization platforms. They collaborate with teams to understand data needs and deliver actionable insights. Strong communication and problem-solving skills are essential. Opportunities span across various industries such as finance, healthcare, e-commerce, and education, making it a versatile and in-demand career path for those skilled in data and analytics.","Finance, Healthcare, Tech Firms, Government",62126,Kurunegala,4793,Canada,Remote,Critical Thinking Teamwork Design Creativity Analysis,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Computer Science, Mathematics, Statistics",Data Analyst,"A data analyst collects, processes, and performs statistical analyses of data. They turn data into information that helps businesses make informed decisions. Analysts often work with databases, reporting tools, and visualization platforms. They collaborate with teams to understand data needs and deliver actionable insights. Strong communication and problem-solving skills are essential. Opportunities span across various industries such as finance, healthcare, e-commerce, and education, making it a versatile and in-demand career path for those skilled in data and analytics.","Finance, Healthcare, Tech Firms, Government",133918,Kandy,3697,USA,On-site,Communication Research Analysis Design Teamwork,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"English, Mass Communication, Psychology",Content Writer,"Content writers create engaging written content for blogs, websites, marketing, and social media. They research topics, develop ideas, and ensure proper tone and grammar. Writers may work in journalism, advertising, education, or freelancing. Creativity, research skills, and command of language are key.","Media, Advertising, Freelance",60354,Anuradhapura,4317,Germany,Remote,Critical Thinking Leadership Python Creativity Problem Solving,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Fine Arts, Design, Photography",Graphic Designer,"Graphic designers create visual content for branding, marketing, and web design. They use design software to produce logos, posters, ads, and social media content. Aesthetic sense, creativity, and digital skills are vital. Designers work in agencies, media, or freelance.","Media Houses, Agencies, Freelance",114752,Galle,3217,Germany,Hybrid,Analysis Research Communication Problem Solving Leadership,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Fine Arts, Design, Photography",Graphic Designer,"Graphic designers create visual content for branding, marketing, and web design. They use design software to produce logos, posters, ads, and social media content. Aesthetic sense, creativity, and digital skills are vital. Designers work in agencies, media, or freelance.","Media Houses, Agencies, Freelance",103397,Jaffna,3389,Germany,Hybrid,Communication Design Problem Solving Teamwork Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Biology, Chemistry, Physics",Medical Scientist,"Medical scientists conduct research to improve human health. They design and perform studies, analyze medical data, and develop treatments or vaccines. Often working in labs or hospitals, they collaborate with physicians and other scientists. Their work contributes to understanding diseases and improving healthcare outcomes. A strong background in biology and research methodology is essential.","Hospitals, Labs, Research Centers",67922,Jaffna,3979,UK,On-site,Problem Solving Creativity Analysis Communication Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"English, Mass Communication, Psychology",Content Writer,"Content writers create engaging written content for blogs, websites, marketing, and social media. They research topics, develop ideas, and ensure proper tone and grammar. Writers may work in journalism, advertising, education, or freelancing. Creativity, research skills, and command of language are key.","Media, Advertising, Freelance",121933,Kurunegala,5052,Australia,Remote,Leadership Problem Solving Analysis Research Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Biology, Chemistry, Physics",Medical Scientist,"Medical scientists conduct research to improve human health. They design and perform studies, analyze medical data, and develop treatments or vaccines. Often working in labs or hospitals, they collaborate with physicians and other scientists. Their work contributes to understanding diseases and improving healthcare outcomes. A strong background in biology and research methodology is essential.","Hospitals, Labs, Research Centers",147546,Galle,2626,USA,Hybrid,Communication Teamwork Analysis Python Research,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Commerce, Economics, Accounting",Chartered Accountant,"Chartered accountants manage finances, audits, and tax planning for organizations. They analyze financial data, ensure regulatory compliance, and advise on budgeting. Their role is vital for business decision-making and financial integrity. CAs often work in firms, corporations, or as independent consultants. A qualification from a recognized accounting body is essential.","Audit Firms, Banks, Corporates",66800,Colombo,4556,Canada,Remote,Creativity Design Teamwork Python Critical Thinking,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Nursing, Biology, Community Medicine",Nurse,"Nurses provide care, support, and medical assistance to patients. They work in hospitals, clinics, and communities. Duties include administering medication, monitoring health, and educating patients. Compassion, clinical skills, and stamina are important in nursing careers.","Hospitals, Clinics, Health NGOs",145557,Anuradhapura,4550,UK,Hybrid,Research Analysis Leadership Python Communication,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Law, Political Science, Ethics",Lawyer,"Lawyers represent clients in legal matters, draft contracts, and provide counsel. They may specialize in criminal, civil, corporate, or family law. Strong analytical, communication, and research skills are essential. Lawyers work in courts, law firms, or public service.","Law Firms, Judiciary, Public Sector",138152,Kurunegala,3281,Germany,Remote,Python Leadership Teamwork Creativity Problem Solving,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Information Technology, AI, Data Science",AI Engineer,"AI engineers develop intelligent systems capable of simulating human behavior. They design algorithms, build models, and integrate AI into applications. Work includes machine learning, deep learning, and natural language processing. AI engineers collaborate with data scientists and developers to deliver smart solutions.","Tech Companies, Startups, R&D",130562,Galle,4546,Australia,Remote,Python Problem Solving Critical Thinking Leadership Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Education, Psychology, Child Development",School Teacher,"Teachers educate students, plan lessons, and assess performance. They work in schools, focusing on academic and social development. Patience, subject knowledge, and communication are key. Teachers play a crucial role in shaping young minds.","Schools, Educational NGOs",106422,Anuradhapura,4326,UK,Hybrid,Design Analysis Teamwork Critical Thinking Communication,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Education, Psychology, Child Development",School Teacher,"Teachers educate students, plan lessons, and assess performance. They work in schools, focusing on academic and social development. Patience, subject knowledge, and communication are key. Teachers play a crucial role in shaping young minds.","Schools, Educational NGOs",89176,Batticaloa,5885,USA,Hybrid,Leadership Problem Solving Design Critical Thinking Research,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Law, Political Science, Ethics",Lawyer,"Lawyers represent clients in legal matters, draft contracts, and provide counsel. They may specialize in criminal, civil, corporate, or family law. Strong analytical, communication, and research skills are essential. Lawyers work in courts, law firms, or public service.","Law Firms, Judiciary, Public Sector",78833,Galle,5698,Australia,Remote,Communication Research Problem Solving Analysis Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Education, Psychology, Child Development",School Teacher,"Teachers educate students, plan lessons, and assess performance. They work in schools, focusing on academic and social development. Patience, subject knowledge, and communication are key. Teachers play a crucial role in shaping young minds.","Schools, Educational NGOs",74941,Kurunegala,4003,Australia,Hybrid,Analysis Problem Solving Design Python Research,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Nursing, Biology, Community Medicine",Nurse,"Nurses provide care, support, and medical assistance to patients. They work in hospitals, clinics, and communities. Duties include administering medication, monitoring health, and educating patients. Compassion, clinical skills, and stamina are important in nursing careers.","Hospitals, Clinics, Health NGOs",142125,Colombo,3968,Germany,Hybrid,Design Communication Python Analysis Leadership,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Computer Science, Mathematics, Statistics",Data Analyst,"A data analyst collects, processes, and performs statistical analyses of data. They turn data into information that helps businesses make informed decisions. Analysts often work with databases, reporting tools, and visualization platforms. They collaborate with teams to understand data needs and deliver actionable insights. Strong communication and problem-solving skills are essential. Opportunities span across various industries such as finance, healthcare, e-commerce, and education, making it a versatile and in-demand career path for those skilled in data and analytics.","Finance, Healthcare, Tech Firms, Government",103593,Batticaloa,5564,USA,Remote,Creativity Teamwork Critical Thinking Leadership Research,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Nursing, Biology, Community Medicine",Nurse,"Nurses provide care, support, and medical assistance to patients. They work in hospitals, clinics, and communities. Duties include administering medication, monitoring health, and educating patients. Compassion, clinical skills, and stamina are important in nursing careers.","Hospitals, Clinics, Health NGOs",94623,Colombo,2440,Germany,On-site,Communication Leadership Problem Solving Python Design,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Zoology, Marine Biology, Ecology",Wildlife Researcher,"Wildlife researchers study animal behavior, habitats, and conservation strategies. They conduct fieldwork, collect data, and publish findings. Work involves biology, ecology, and environmental science. Passion for nature and scientific inquiry is important.","NGOs, Universities, Forest Depts",109901,Kurunegala,2651,USA,Remote,Python Creativity Leadership Design Critical Thinking,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"English, Mass Communication, Psychology",Content Writer,"Content writers create engaging written content for blogs, websites, marketing, and social media. They research topics, develop ideas, and ensure proper tone and grammar. Writers may work in journalism, advertising, education, or freelancing. Creativity, research skills, and command of language are key.","Media, Advertising, Freelance",126756,Jaffna,5366,Australia,Remote,Communication Leadership Creativity Problem Solving Design,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Mechanical Engineering, Physics, Chemistry",Mechanical Engineer,"Mechanical engineers design, develop, and test mechanical systems. They work in manufacturing, automotive, energy, or robotics sectors. Knowledge of physics, materials, and CAD tools is essential. Engineers solve practical problems with technical innovation.","Factories, R&D Labs",141582,Kurunegala,5644,Germany,Hybrid,Problem Solving Python Teamwork Communication Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Mechanical Engineering, Physics, Chemistry",Mechanical Engineer,"Mechanical engineers design, develop, and test mechanical systems. They work in manufacturing, automotive, energy, or robotics sectors. Knowledge of physics, materials, and CAD tools is essential. Engineers solve practical problems with technical innovation.","Factories, R&D Labs",111659,Jaffna,2086,Canada,Hybrid,Communication Python Critical Thinking Teamwork Analysis,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Zoology, Marine Biology, Ecology",Wildlife Researcher,"Wildlife researchers study animal behavior, habitats, and conservation strategies. They conduct fieldwork, collect data, and publish findings. Work involves biology, ecology, and environmental science. Passion for nature and scientific inquiry is important.","NGOs, Universities, Forest Depts",132760,Anuradhapura,5892,USA,On-site,Communication Creativity Leadership Design Critical Thinking,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"History, Political Science, Sociology",Historian,"Historians study, interpret, and write about the past. They analyze historical documents, artifacts, and sources to understand historical events and trends. They may work in academic, museum, or editorial roles. Historians contribute to education, policy-making, and cultural preservation by offering insights into human history.","Universities, Museums, Archives",129081,Kurunegala,4000,Germany,Hybrid,Creativity Design Analysis Critical Thinking Problem Solving,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Biology, Chemistry, Physics",Medical Scientist,"Medical scientists conduct research to improve human health. They design and perform studies, analyze medical data, and develop treatments or vaccines. Often working in labs or hospitals, they collaborate with physicians and other scientists. Their work contributes to understanding diseases and improving healthcare outcomes. A strong background in biology and research methodology is essential.","Hospitals, Labs, Research Centers",144134,Kandy,2505,Germany,Hybrid,Communication Critical Thinking Teamwork Python Problem Solving,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Nursing, Biology, Community Medicine",Nurse,"Nurses provide care, support, and medical assistance to patients. They work in hospitals, clinics, and communities. Duties include administering medication, monitoring health, and educating patients. Compassion, clinical skills, and stamina are important in nursing careers.","Hospitals, Clinics, Health NGOs",91679,Colombo,5530,USA,Remote,Analysis Leadership Communication Problem Solving Teamwork,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Civil Engineering, Physics, Mathematics",Civil Engineer,"Civil engineers design and oversee construction projects like roads, bridges, and buildings. They plan, budget, and ensure projects meet safety standards. Their work shapes infrastructure and urban development. Proficiency in design software, materials science, and structural analysis is essential.","Construction Firms, Government",120339,Kurunegala,3791,Germany,On-site,Design Research Problem Solving Leadership Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Fine Arts, Design, Photography",Graphic Designer,"Graphic designers create visual content for branding, marketing, and web design. They use design software to produce logos, posters, ads, and social media content. Aesthetic sense, creativity, and digital skills are vital. Designers work in agencies, media, or freelance.","Media Houses, Agencies, Freelance",106368,Colombo,5866,Canada,Hybrid,Analysis Python Leadership Research Problem Solving,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Zoology, Marine Biology, Ecology",Wildlife Researcher,"Wildlife researchers study animal behavior, habitats, and conservation strategies. They conduct fieldwork, collect data, and publish findings. Work involves biology, ecology, and environmental science. Passion for nature and scientific inquiry is important.","NGOs, Universities, Forest Depts",92842,Kurunegala,5057,Canada,On-site,Leadership Research Problem Solving Analysis Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Agriculture, Botany, Environmental Science",Agricultural Officer,"Agricultural officers advise farmers, manage rural projects, and promote sustainable farming. They analyze soil, crop performance, and suggest improvements. Officers often work with the government or NGOs to ensure food security and rural development.","Govt Depts, NGOs, Private Sector",115264,Colombo,5450,UK,Remote,Critical Thinking Python Problem Solving Design Leadership,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"History, Political Science, Sociology",Historian,"Historians study, interpret, and write about the past. They analyze historical documents, artifacts, and sources to understand historical events and trends. They may work in academic, museum, or editorial roles. Historians contribute to education, policy-making, and cultural preservation by offering insights into human history.","Universities, Museums, Archives",95410,Kurunegala,4255,USA,Hybrid,Teamwork Problem Solving Communication Design Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Law, Political Science, Ethics",Lawyer,"Lawyers represent clients in legal matters, draft contracts, and provide counsel. They may specialize in criminal, civil, corporate, or family law. Strong analytical, communication, and research skills are essential. Lawyers work in courts, law firms, or public service.","Law Firms, Judiciary, Public Sector",104805,Anuradhapura,3541,UK,Hybrid,Creativity Analysis Leadership Communication Teamwork,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Education, Psychology, Child Development",School Teacher,"Teachers educate students, plan lessons, and assess performance. They work in schools, focusing on academic and social development. Patience, subject knowledge, and communication are key. Teachers play a crucial role in shaping young minds.","Schools, Educational NGOs",127318,Kandy,2280,UK,Hybrid,Design Creativity Leadership Python Communication,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Nursing, Biology, Community Medicine",Nurse,"Nurses provide care, support, and medical assistance to patients. They work in hospitals, clinics, and communities. Duties include administering medication, monitoring health, and educating patients. Compassion, clinical skills, and stamina are important in nursing careers.","Hospitals, Clinics, Health NGOs",63869,Kandy,4048,UK,On-site,Leadership Teamwork Problem Solving Communication Design,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Education, Psychology, Child Development",School Teacher,"Teachers educate students, plan lessons, and assess performance. They work in schools, focusing on academic and social development. Patience, subject knowledge, and communication are key. Teachers play a crucial role in shaping young minds.","Schools, Educational NGOs",139446,Galle,2597,USA,On-site,Leadership Python Problem Solving Research Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Agriculture, Botany, Environmental Science",Agricultural Officer,"Agricultural officers advise farmers, manage rural projects, and promote sustainable farming. They analyze soil, crop performance, and suggest improvements. Officers often work with the government or NGOs to ensure food security and rural development.","Govt Depts, NGOs, Private Sector",138044,Kurunegala,5940,USA,On-site,Research Communication Python Design Problem Solving,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Civil Engineering, Physics, Mathematics",Civil Engineer,"Civil engineers design and oversee construction projects like roads, bridges, and buildings. They plan, budget, and ensure projects meet safety standards. Their work shapes infrastructure and urban development. Proficiency in design software, materials science, and structural analysis is essential.","Construction Firms, Government",98446,Batticaloa,3401,USA,Hybrid,Analysis Design Problem Solving Communication Research,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"English, Mass Communication, Psychology",Content Writer,"Content writers create engaging written content for blogs, websites, marketing, and social media. They research topics, develop ideas, and ensure proper tone and grammar. Writers may work in journalism, advertising, education, or freelancing. Creativity, research skills, and command of language are key.","Media, Advertising, Freelance",123684,Jaffna,2203,Germany,Remote,Creativity Critical Thinking Python Analysis Leadership,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Nursing, Biology, Community Medicine",Nurse,"Nurses provide care, support, and medical assistance to patients. They work in hospitals, clinics, and communities. Duties include administering medication, monitoring health, and educating patients. Compassion, clinical skills, and stamina are important in nursing careers.","Hospitals, Clinics, Health NGOs",118096,Anuradhapura,2099,Australia,Hybrid,Problem Solving Analysis Design Teamwork Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"History, Political Science, Sociology",Historian,"Historians study, interpret, and write about the past. They analyze historical documents, artifacts, and sources to understand historical events and trends. They may work in academic, museum, or editorial roles. Historians contribute to education, policy-making, and cultural preservation by offering insights into human history.","Universities, Museums, Archives",82031,Kurunegala,4114,UK,On-site,Analysis Problem Solving Python Design Critical Thinking,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Information Technology, AI, Data Science",AI Engineer,"AI engineers develop intelligent systems capable of simulating human behavior. They design algorithms, build models, and integrate AI into applications. Work includes machine learning, deep learning, and natural language processing. AI engineers collaborate with data scientists and developers to deliver smart solutions.","Tech Companies, Startups, R&D",81364,Galle,4809,Germany,On-site,Critical Thinking Problem Solving Python Teamwork Leadership,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Business Administration, Marketing, HRM",HR Manager,"HR managers handle recruitment, employee relations, and organizational development. They ensure legal compliance, design policies, and manage benefits. HR professionals foster a healthy work culture, support employee growth, and align HR goals with business strategy.","Corporates, NGOs, Consulting",73098,Colombo,5536,Canada,Hybrid,Problem Solving Design Python Creativity Research,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Commerce, Economics, Accounting",Chartered Accountant,"Chartered accountants manage finances, audits, and tax planning for organizations. They analyze financial data, ensure regulatory compliance, and advise on budgeting. Their role is vital for business decision-making and financial integrity. CAs often work in firms, corporations, or as independent consultants. A qualification from a recognized accounting body is essential.","Audit Firms, Banks, Corporates",116419,Kurunegala,3715,Germany,Remote,Creativity Python Critical Thinking Communication Leadership,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Fine Arts, Design, Photography",Graphic Designer,"Graphic designers create visual content for branding, marketing, and web design. They use design software to produce logos, posters, ads, and social media content. Aesthetic sense, creativity, and digital skills are vital. Designers work in agencies, media, or freelance.","Media Houses, Agencies, Freelance",140476,Anuradhapura,3628,Australia,On-site,Design Leadership Research Analysis Teamwork,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Civil Engineering, Physics, Mathematics",Civil Engineer,"Civil engineers design and oversee construction projects like roads, bridges, and buildings. They plan, budget, and ensure projects meet safety standards. Their work shapes infrastructure and urban development. Proficiency in design software, materials science, and structural analysis is essential.","Construction Firms, Government",100961,Galle,4357,Germany,Remote,Critical Thinking Communication Analysis Leadership Teamwork,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"History, Political Science, Sociology",Historian,"Historians study, interpret, and write about the past. They analyze historical documents, artifacts, and sources to understand historical events and trends. They may work in academic, museum, or editorial roles. Historians contribute to education, policy-making, and cultural preservation by offering insights into human history.","Universities, Museums, Archives",71191,Colombo,4459,Canada,On-site,Creativity Critical Thinking Teamwork Design Research,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"English, Mass Communication, Psychology",Content Writer,"Content writers create engaging written content for blogs, websites, marketing, and social media. They research topics, develop ideas, and ensure proper tone and grammar. Writers may work in journalism, advertising, education, or freelancing. Creativity, research skills, and command of language are key.","Media, Advertising, Freelance",68954,Anuradhapura,4787,USA,On-site,Critical Thinking Python Communication Research Analysis,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Civil Engineering, Physics, Mathematics",Civil Engineer,"Civil engineers design and oversee construction projects like roads, bridges, and buildings. They plan, budget, and ensure projects meet safety standards. Their work shapes infrastructure and urban development. Proficiency in design software, materials science, and structural analysis is essential.","Construction Firms, Government",112635,Anuradhapura,2436,Germany,Hybrid,Teamwork Creativity Communication Research Critical Thinking,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Information Technology, AI, Data Science",AI Engineer,"AI engineers develop intelligent systems capable of simulating human behavior. They design algorithms, build models, and integrate AI into applications. Work includes machine learning, deep learning, and natural language processing. AI engineers collaborate with data scientists and developers to deliver smart solutions.","Tech Companies, Startups, R&D",121629,Colombo,3725,USA,Hybrid,Communication Leadership Critical Thinking Analysis Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"English, Mass Communication, Psychology",Content Writer,"Content writers create engaging written content for blogs, websites, marketing, and social media. They research topics, develop ideas, and ensure proper tone and grammar. Writers may work in journalism, advertising, education, or freelancing. Creativity, research skills, and command of language are key.","Media, Advertising, Freelance",137130,Anuradhapura,2220,Australia,Remote,Python Problem Solving Leadership Analysis Design,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Information Technology, AI, Data Science",AI Engineer,"AI engineers develop intelligent systems capable of simulating human behavior. They design algorithms, build models, and integrate AI into applications. Work includes machine learning, deep learning, and natural language processing. AI engineers collaborate with data scientists and developers to deliver smart solutions.","Tech Companies, Startups, R&D",128857,Batticaloa,5080,USA,Remote,Python Analysis Research Design Problem Solving,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"History, Political Science, Sociology",Historian,"Historians study, interpret, and write about the past. They analyze historical documents, artifacts, and sources to understand historical events and trends. They may work in academic, museum, or editorial roles. Historians contribute to education, policy-making, and cultural preservation by offering insights into human history.","Universities, Museums, Archives",100595,Jaffna,2882,Australia,On-site,Research Design Teamwork Python Critical Thinking,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
